Architecture,Samples,Pure_NRMSE,Best_Physical_NRMSE,NRMSE_Imp_Pct,Pure_Residual,Best_Physical_Residual,Residual_Imp_Pct,Pure_R2,Best_Physical_R2,Best_Physical_Lambda
"FlexCNN (L=1, none)",2000,0.21779579,0.18679306,14.234771,0.8275573825836182,0.3594635164141655,56.56331222713193,0.041415587067604065,0.3980334401130676,0.1
"FlexCNN (L=1, none)",4000,0.18257943,0.1525944,16.423004,0.5141311936974525,0.23941155761480332,53.43376154770172,0.41060593724250793,0.5835521817207336,0.1
"FlexCNN (L=1, none)",8000,0.16158707,0.12429952,23.075829,0.38944319981336595,0.16266497318446635,58.23139978758884,0.5005818009376526,0.7156431674957275,0.1
"FlexCNN (L=1, none)",16000,0.14454685,0.111869305,22.606888,0.2544887628555298,0.16260129356384279,36.1066902367907,0.5835099220275879,0.7715835571289062,0.1
"FlexCNN (L=2, dilated)",2000,0.17131226,0.140876,17.76654,0.4459485459327698,0.06117723036557436,86.28154953670433,0.35933199524879456,0.5646229982376099,0.1
"FlexCNN (L=2, dilated)",4000,0.15450151,0.108023815,30.082357,0.2729949496984482,0.06025786266475916,77.92711450108497,0.39108002185821533,0.7554306983947754,0.1
"FlexCNN (L=2, dilated)",8000,0.122170955,0.081111275,33.60838,0.22655685365200043,0.045230621621012684,80.03564187447246,0.6443184614181519,0.8656076192855835,0.1
"FlexCNN (L=2, dilated)",16000,0.117213584,0.11701822,0.16667153,0.20199909660220147,0.19161848390102387,5.1389401615098445,0.6748954057693481,0.6739096641540527,1e-05
"FlexCNN (L=2, maxpool)",2000,0.14208655,0.08785005,38.17145,0.22124970769882202,0.07579152355343104,65.74389889969804,0.5567538142204285,0.8441846370697021,0.1
"FlexCNN (L=2, maxpool)",4000,0.1253453,0.08465521,32.4624,0.25227619951963426,0.12835358995199203,49.1217997589969,0.6408592462539673,0.8501498699188232,0.001
"FlexCNN (L=2, maxpool)",8000,0.06450191,0.054076497,16.162954,0.106664635181427,0.041412828646600244,61.174733709855445,0.9139215350151062,0.944125771522522,0.01
"FlexCNN (L=2, maxpool)",16000,0.049734674,0.04923585,1.0029699,0.08014557208865881,0.07868309517204762,1.8247756906562094,0.9511421322822571,0.952354907989502,0.0001
"FlexCNN (L=4, dilated)",2000,0.10591553,0.077713974,26.626461,0.11923167838156223,0.06502375900745391,45.4643598999198,0.7703332901000977,0.8725172877311707,0.1
"FlexCNN (L=4, dilated)",4000,0.09515709,0.069198005,27.280241,0.09383053992688656,0.045314810186624525,51.70569174819397,0.8105302453041077,0.900503396987915,0.1
"FlexCNN (L=4, dilated)",8000,0.12985238,0.050679956,60.971104,0.349704222202301,0.028644294138997793,91.8089939095939,0.46194806694984436,0.9483631253242493,0.1
"FlexCNN (L=4, dilated)",16000,0.053827904,0.045477744,15.512697,0.04722151333466172,0.02022873381525278,57.16203826020882,0.9464210867881775,0.9587125778198242,0.1
"FlexCNN (L=4, maxpool)",2000,0.1120934,0.11004038,1.8315219,0.15295466688275336,0.09497386761009693,37.90717894021587,0.7346352338790894,0.7372855544090271,0.01
"FlexCNN (L=4, maxpool)",4000,0.07347605,0.07019434,4.4663606,0.18547220623493194,0.1789679526090622,3.5068616252027516,0.8768995404243469,0.8865106701850891,0.001
"FlexCNN (L=4, maxpool)",8000,0.04657883,0.037941165,18.544182,0.06979248556494713,0.025846242070198058,62.967013051646944,0.9534937739372253,0.9740721583366394,0.001
"FlexCNN (L=4, maxpool)",16000,0.030295597,0.03188221,-5.2371116,0.01818511269055307,0.01813597059994936,0.2702325327312338,0.983171820640564,0.9809067249298096,0.001
MLP,2000,0.20961042,0.20488225,2.2556932,0.5448413829803467,0.4431681373715401,18.661072522179197,0.16230440139770508,0.23176804184913635,0.1
MLP,4000,0.19194366,0.18238749,4.9786353,0.4338030295372009,0.3447997151017189,20.51698775143051,0.31082993745803833,0.37810325622558594,0.1
MLP,8000,0.17674085,0.17453206,1.2497389,0.3824461197257042,0.3293114730119705,13.893367973465809,0.41363638639450073,0.41645777225494385,1e-05
MLP,16000,0.1683045,0.16742729,0.521208,0.32111418145895004,0.2800931710600853,12.774586974791927,0.46117693185806274,0.4685145616531372,1e-05
