Architecture,Samples,Pure_NRMSE,Best_Physical_NRMSE,NRMSE_Imp_Pct,Pure_R2,Best_Physical_R2,Best_Physical_Lambda
"FlexCNN (L=1, none)",2000,0.21779579,0.18679306,14.234771,0.0414156466722488,0.3980333507061004,0.1
"FlexCNN (L=1, none)",4000,0.18257943,0.1525944,16.423004,0.4106059968471527,0.5835523009300232,0.1
"FlexCNN (L=1, none)",8000,0.16158707,0.12429952,23.075829,0.5005818605422974,0.7156431674957275,0.1
"FlexCNN (L=1, none)",16000,0.14454685,0.11186931,22.606884,0.5835099220275879,0.7715835571289062,0.1
"FlexCNN (L=2, dilated)",2000,0.17131226,0.140876,17.76654,0.3593319952487945,0.5646229386329651,0.1
"FlexCNN (L=2, dilated)",4000,0.15450151,0.108023815,30.082357,0.3910800516605377,0.7554306983947754,0.1
"FlexCNN (L=2, dilated)",8000,0.122170955,0.081111275,33.60838,0.6443184018135071,0.865607500076294,0.1
"FlexCNN (L=2, dilated)",16000,0.117213584,0.11701822,0.16667153,0.6748954057693481,0.6739096641540527,1e-05
"FlexCNN (L=2, maxpool)",2000,0.14208655,0.08785005,38.17145,0.556753933429718,0.8441847562789917,0.1
"FlexCNN (L=2, maxpool)",4000,0.1253453,0.08465521,32.4624,0.6408592462539673,0.8501498699188232,0.001
"FlexCNN (L=2, maxpool)",8000,0.06450191,0.054076504,16.162945,0.9139215350151062,0.944125771522522,0.01
"FlexCNN (L=2, maxpool)",16000,0.049734674,0.04923585,1.0029699,0.9511421322822572,0.952354907989502,0.0001
"FlexCNN (L=2, none)",2000,0.17994794,0.12724873,29.285807,0.2994595170021057,0.6654595732688904,0.1
"FlexCNN (L=2, none)",4000,0.16245353,0.07713109,52.521133,0.3463865518569946,0.8868409395217896,0.1
"FlexCNN (L=2, none)",8000,0.093687676,0.08158987,12.912911,0.8171778321266174,0.8686174154281616,0.1
"FlexCNN (L=2, none)",16000,0.12347428,0.072759956,41.072784,0.6425444483757019,0.9001534581184387,0.01
"FlexCNN (L=4, dilated)",2000,0.10591553,0.077713974,26.626461,0.7703332901000977,0.8725172877311707,0.1
"FlexCNN (L=4, dilated)",4000,0.09515708,0.069198,27.280241,0.8105302453041077,0.900503396987915,0.1
"FlexCNN (L=4, dilated)",8000,0.12985238,0.050679956,60.971104,0.4619480669498443,0.9483631253242492,0.1
"FlexCNN (L=4, dilated)",16000,0.053827904,0.045477744,15.512697,0.9464210867881776,0.9587126970291138,0.1
"FlexCNN (L=4, maxpool)",2000,0.1120934,0.11004038,1.8315219,0.7346352338790894,0.7372855544090271,0.01
"FlexCNN (L=4, maxpool)",4000,0.073476054,0.07019434,4.46637,0.8768995404243469,0.8865106701850891,0.001
"FlexCNN (L=4, maxpool)",8000,0.04657883,0.037941165,18.544182,0.9534937739372252,0.9740721583366394,0.001
"FlexCNN (L=4, maxpool)",16000,0.030295597,0.03188221,-5.2371116,0.983171820640564,0.9809067249298096,0.001
"FlexCNN (L=4, none)",2000,0.14674813,0.0927512,36.79565,0.3879063129425049,0.8186894059181213,0.0001
"FlexCNN (L=4, none)",4000,0.07343936,0.070849076,3.5271056,0.8965034484863281,0.9036970138549804,0.001
"FlexCNN (L=4, none)",8000,0.060916174,0.059271127,2.7005098,0.931121289730072,0.934556245803833,1e-05
"FlexCNN (L=4, none)",16000,0.12610707,0.049076296,61.083626,0.4843376278877258,0.9527817368507384,0.01
MLP,2000,0.20961042,0.20488225,2.2556932,0.162304401397705,0.2317679822444915,0.1
MLP,4000,0.19194366,0.18238749,4.9786353,0.3108299374580383,0.3781033158302307,0.1
MLP,8000,0.17674085,0.17453206,1.2497389,0.4136364459991455,0.4164577424526214,1e-05
MLP,16000,0.1683045,0.16742729,0.521208,0.4611769020557403,0.4685145020484924,1e-05
