File,CheckpointPath,Architecture,BaseArch,Loss,Lambda,Samples,Source_NRMSE,Source_R2,Source_PDE_Residual,Recomputed_Joint_NRMSE,Recomputed_R2,Recomputed_PDE_Residual,EvalDataset,EvalSamples,ParamScalerSource,Norm_NRMSE_a,Norm_RMSE_a,Norm_TargetMean_a,Real_NRMSE_a,Real_RMSE_a,Real_TargetMean_a,Norm_NRMSE_b,Norm_RMSE_b,Norm_TargetMean_b,Real_NRMSE_b,Real_RMSE_b,Real_TargetMean_b,Norm_NRMSE_c,Norm_RMSE_c,Norm_TargetMean_c,Real_NRMSE_c,Real_RMSE_c,Real_TargetMean_c,Norm_NRMSE_delta,Norm_RMSE_delta,Norm_TargetMean_delta,Real_NRMSE_delta,Real_RMSE_delta,Real_TargetMean_delta
PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n16000_1_best.pth,"FlexCNN (L=1, none) (λ=0.1)","FlexCNN (L=1, none)",physical,0.1,16000,0.111869305,0.7715835571289062,0.1626012935638427,0.111869305,0.7715835571289062,0.16260129356384279,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.4486095,0.09235528,0.20587009,0.4182003,0.061820637,0.14782542,0.15157682,0.1067241,0.7040925,0.10812642,0.16637316,1.5386912,0.33697584,0.05196168,0.15420002,0.33069265,0.35798764,1.0825388,0.25690678,0.15102004,0.58783984,0.21605313,27.178188,125.79401
PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n2000_1_best.pth,"FlexCNN (L=1, none) (λ=0.1)","FlexCNN (L=1, none)",physical,0.1,2000,0.18679306,0.3980334401130676,0.3594635164141655,0.18679306,0.3980334401130676,0.3594635164141655,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.69876724,0.14385527,0.20587009,0.65140164,0.09629372,0.14782542,0.2573889,0.18122558,0.7040925,0.18360677,0.28251413,1.5386912,0.36918387,0.056928158,0.15420002,0.36229986,0.39220366,1.0825388,0.44967347,0.264336,0.58783984,0.37816566,47.570972,125.79401
PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n4000_1_best.pth,"FlexCNN (L=1, none) (λ=0.1)","FlexCNN (L=1, none)",physical,0.1,4000,0.1525944,0.5835521817207336,0.2394115576148033,0.1525944,0.5835521817207336,0.23941155761480332,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.5815836,0.119730674,0.20587009,0.54216087,0.08014516,0.14782542,0.22146091,0.15592897,0.7040925,0.15797777,0.243079,1.5386912,0.39678702,0.061184563,0.15420002,0.38938832,0.42152798,1.0825388,0.3491633,0.2052521,0.58783984,0.29363903,36.93803,125.79401
PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n8000_1_best.pth,"FlexCNN (L=1, none) (λ=0.1)","FlexCNN (L=1, none)",physical,0.1,8000,0.12429952,0.7156431674957275,0.1626649731844663,0.12429952,0.7156431674957275,0.16266497318446635,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.50107914,0.10315721,0.20587009,0.467114,0.069051325,0.14782542,0.17930916,0.12625024,0.7040925,0.127909,0.19681247,1.5386912,0.3673343,0.056642957,0.15420002,0.36048523,0.39023927,1.0825388,0.27584526,0.16215284,0.58783984,0.2319799,29.181683,125.79401
PaperPINN_CNN_Flex_L1_none_pure_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_pure_n16000_1_best.pth,"FlexCNN (L=1, none)","FlexCNN (L=1, none)",pure,,16000,0.14454685,0.5835099220275879,0.2544887628555298,0.14454685,0.5835099220275879,0.2544887628555298,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.7751842,0.15958725,0.20587009,0.7226392,0.10682444,0.14782542,0.20669341,0.14553128,0.7040925,0.14744341,0.22686988,1.5386912,0.3671509,0.056614675,0.15420002,0.36030543,0.39004463,1.0825388,0.27424124,0.16120993,0.58783984,0.2306311,29.01201,125.79401
PaperPINN_CNN_Flex_L1_none_pure_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_pure_n2000_1_best.pth,"FlexCNN (L=1, none)","FlexCNN (L=1, none)",pure,,2000,0.21779579,0.041415587067604,0.8275573825836182,0.21779579,0.041415587067604065,0.8275573825836182,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.9376112,0.19302611,0.20587009,0.874055,0.12920755,0.14782542,0.24299845,0.17109339,0.7040925,0.17334141,0.2667189,1.5386912,1.0511148,0.16208191,0.15420002,1.031515,1.1166551,1.0825388,0.4792862,0.28174353,0.58783984,0.4030691,50.70368,125.79401
PaperPINN_CNN_Flex_L1_none_pure_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_pure_n4000_1_best.pth,"FlexCNN (L=1, none)","FlexCNN (L=1, none)",pure,,4000,0.18257943,0.4106059372425079,0.5141311936974525,0.18257943,0.41060593724250793,0.5141311936974525,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.7060248,0.1453494,0.20587009,0.65816736,0.09729387,0.14782542,0.22686207,0.15973188,0.7040925,0.1618306,0.24900733,1.5386912,0.50699955,0.07817934,0.15420002,0.4975457,0.53861254,1.0825388,0.4444158,0.2612453,0.58783984,0.37374422,47.014782,125.79401
PaperPINN_CNN_Flex_L1_none_pure_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L1_none_pure_n8000_1_best.pth,"FlexCNN (L=1, none)","FlexCNN (L=1, none)",pure,,8000,0.16158707,0.5005818009376526,0.3894431998133659,0.16158707,0.5005818009376526,0.38944319981336595,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.69488513,0.14305606,0.20587009,0.6477824,0.09575871,0.14782542,0.22360592,0.15743925,0.7040925,0.15950765,0.24543302,1.5386912,0.566753,0.08739332,0.15420002,0.55618423,0.602091,1.0825388,0.34816122,0.20466304,0.58783984,0.29279643,36.832035,125.79401
PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n2000_1_best.pth,"FlexCNN (L=2, dilated) (λ=0.1)","FlexCNN (L=2, dilated)",physical,0.1,2000,0.140876,0.5646229982376099,0.0611772303655743,0.140876,0.5646229982376099,0.06117723036557436,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.86960864,0.17902641,0.20587009,0.8106628,0.11983657,0.14782542,0.23159373,0.1630634,0.7040925,0.16520596,0.25420094,1.5386912,0.38257924,0.058993723,0.15420002,0.37544537,0.40643418,1.0825388,0.16941243,0.09958738,0.58783984,0.14247239,17.922173,125.79401
PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n4000_1_best.pth,"FlexCNN (L=2, dilated) (λ=0.1)","FlexCNN (L=2, dilated)",physical,0.1,4000,0.108023815,0.7554306983947754,0.0602578626647591,0.108023815,0.7554306983947754,0.06025786266475916,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.5547006,0.11419627,0.20587009,0.5171007,0.076440625,0.14782542,0.19887772,0.14002831,0.7040925,0.14186832,0.21829154,1.5386912,0.3317796,0.05116042,0.15420002,0.32559314,0.35246724,1.0825388,0.14325114,0.08420873,0.58783984,0.12047102,15.154532,125.79401
