Loading dataset from turing_patterns_dataset_merged.npz...
Data loaded. Shape: (10000, 1, 128, 128)
                                                                                                                       
Epoch 1: Val NRMSE(δ)=10.32%
Epoch 2: Val NRMSE(δ)=8.88%
Epoch 3: Val NRMSE(δ)=8.19%
Epoch 4: Val NRMSE(δ)=9.04%
Epoch 5: Val NRMSE(δ)=7.37%
Epoch 6: Val NRMSE(δ)=8.62%
Epoch 7: Val NRMSE(δ)=11.12%
Epoch 8: Val NRMSE(δ)=7.14%
Epoch 9: Val NRMSE(δ)=6.88%
Epoch 10: Val NRMSE(δ)=7.49%
Epoch 11: Val NRMSE(δ)=7.57%
Epoch 12: Val NRMSE(δ)=7.48%
Epoch 13: Val NRMSE(δ)=9.33%
Epoch 14: Val NRMSE(δ)=6.99%
Epoch 15: Val NRMSE(δ)=6.89%
Epoch 16: Val NRMSE(δ)=7.22%
Epoch 17: Val NRMSE(δ)=6.63%
Epoch 18: Val NRMSE(δ)=7.68%
Epoch 19: Val NRMSE(δ)=6.77%
Epoch 20: Val NRMSE(δ)=6.65%
Epoch 21: Val NRMSE(δ)=7.74%
Epoch 22: Val NRMSE(δ)=7.03%
Epoch 23: Val NRMSE(δ)=7.14%
Epoch 24: Val NRMSE(δ)=7.00%
Epoch 25: Val NRMSE(δ)=6.25%
Epoch 26: Val NRMSE(δ)=7.87%
Epoch 27: Val NRMSE(δ)=6.30%
Epoch 28: Val NRMSE(δ)=6.59%
Epoch 29: Val NRMSE(δ)=6.73%
Epoch 30: Val NRMSE(δ)=6.10%
Epoch 31: Val NRMSE(δ)=7.85%
Epoch 32: Val NRMSE(δ)=6.32%
Epoch 33: Val NRMSE(δ)=6.32%
Epoch 34: Val NRMSE(δ)=6.37%
Epoch 35: Val NRMSE(δ)=8.46%
Epoch 36: Val NRMSE(δ)=7.91%
Epoch 37: Val NRMSE(δ)=6.61%
Epoch 38: Val NRMSE(δ)=8.05%
Epoch 39: Val NRMSE(δ)=7.27%
Epoch 40: Val NRMSE(δ)=6.00%
Epoch 41: Val NRMSE(δ)=6.18%
Epoch 42: Val NRMSE(δ)=7.30%
Epoch 43: Val NRMSE(δ)=6.11%
Epoch 44: Val NRMSE(δ)=6.19%
Epoch 45: Val NRMSE(δ)=6.26%
Epoch 46: Val NRMSE(δ)=6.41%
Epoch 47: Val NRMSE(δ)=6.31%
Epoch 48: Val NRMSE(δ)=6.96%
Epoch 49: Val NRMSE(δ)=6.14%
Epoch 50: Val NRMSE(δ)=6.30%
Epoch 51: Val NRMSE(δ)=6.69%
Epoch 52: Val NRMSE(δ)=6.13%
Epoch 53: Val NRMSE(δ)=6.76%
Epoch 54: Val NRMSE(δ)=6.42%
Epoch 55: Val NRMSE(δ)=6.19%
Epoch 56: Val NRMSE(δ)=6.57%
Epoch 57: Val NRMSE(δ)=6.35%
Epoch 58: Val NRMSE(δ)=6.12%
Epoch 59: Val NRMSE(δ)=7.19%
Epoch 60: Val NRMSE(δ)=6.26%
Epoch 61: Val NRMSE(δ)=6.22%
Epoch 62: Val NRMSE(δ)=6.44%
Epoch 63: Val NRMSE(δ)=6.10%
Epoch 64: Val NRMSE(δ)=6.23%
Epoch 65: Val NRMSE(δ)=6.02%
Epoch 66: Val NRMSE(δ)=6.02%
Epoch 67: Val NRMSE(δ)=6.22%
Epoch 68: Val NRMSE(δ)=6.13%
Epoch 69: Val NRMSE(δ)=6.28%
Epoch 70: Val NRMSE(δ)=6.14%
Epoch 71: Val NRMSE(δ)=5.92%
Epoch 72: Val NRMSE(δ)=6.06%
Epoch 73: Val NRMSE(δ)=5.94%
Epoch 74: Val NRMSE(δ)=7.25%
Epoch 75: Val NRMSE(δ)=6.17%
Epoch 76: Val NRMSE(δ)=6.32%
Epoch 77: Val NRMSE(δ)=6.11%
Epoch 78: Val NRMSE(δ)=6.03%
Epoch 79: Val NRMSE(δ)=5.80%
Epoch 80: Val NRMSE(δ)=6.92%
Epoch 81: Val NRMSE(δ)=5.93%
Epoch 82: Val NRMSE(δ)=6.44%
Epoch 83: Val NRMSE(δ)=5.82%
Epoch 84: Val NRMSE(δ)=6.04%
Epoch 85: Val NRMSE(δ)=6.24%
Epoch 86: Val NRMSE(δ)=6.24%
Epoch 87: Val NRMSE(δ)=6.08%
Epoch 88: Val NRMSE(δ)=6.91%
Epoch 89: Val NRMSE(δ)=6.01%
Epoch 90: Val NRMSE(δ)=6.48%
Epoch 91: Val NRMSE(δ)=6.12%
Epoch 92: Val NRMSE(δ)=5.91%
Epoch 93: Val NRMSE(δ)=6.88%
Epoch 94: Val NRMSE(δ)=5.85%
Epoch 95: Val NRMSE(δ)=6.09%
Epoch 96: Val NRMSE(δ)=6.05%
Epoch 97: Val NRMSE(δ)=6.66%
Epoch 98: Val NRMSE(δ)=5.82%
Epoch 99: Val NRMSE(δ)=6.02%
Epoch 100: Val NRMSE(δ)=5.90%
