Loading dataset from turing_patterns_dataset_merged.npz...
Data loaded. Shape: (10000, 1, 128, 128)
                                                                                                                       
Epoch 1: Val NRMSE(δ)=10.58%
Epoch 2: Val NRMSE(δ)=10.95%
Epoch 3: Val NRMSE(δ)=8.13%
Epoch 4: Val NRMSE(δ)=7.34%
Epoch 5: Val NRMSE(δ)=7.61%
Epoch 6: Val NRMSE(δ)=7.12%
Epoch 7: Val NRMSE(δ)=7.73%
Epoch 8: Val NRMSE(δ)=9.04%
Epoch 9: Val NRMSE(δ)=6.69%
Epoch 10: Val NRMSE(δ)=7.12%
Epoch 11: Val NRMSE(δ)=6.64%
Epoch 12: Val NRMSE(δ)=6.83%
Epoch 13: Val NRMSE(δ)=8.29%
Epoch 14: Val NRMSE(δ)=7.04%
Epoch 15: Val NRMSE(δ)=6.20%
Epoch 16: Val NRMSE(δ)=6.38%
Epoch 17: Val NRMSE(δ)=6.27%
Epoch 18: Val NRMSE(δ)=6.42%
Epoch 19: Val NRMSE(δ)=6.59%
Epoch 20: Val NRMSE(δ)=6.80%
Epoch 21: Val NRMSE(δ)=7.56%
Epoch 22: Val NRMSE(δ)=6.82%
Epoch 23: Val NRMSE(δ)=6.02%
Epoch 24: Val NRMSE(δ)=6.97%
Epoch 25: Val NRMSE(δ)=6.22%
Epoch 26: Val NRMSE(δ)=5.99%
Epoch 27: Val NRMSE(δ)=6.13%
Epoch 28: Val NRMSE(δ)=5.94%
Epoch 29: Val NRMSE(δ)=6.73%
Epoch 30: Val NRMSE(δ)=8.01%
Epoch 31: Val NRMSE(δ)=6.46%
Epoch 32: Val NRMSE(δ)=5.91%
Epoch 33: Val NRMSE(δ)=6.51%
Epoch 34: Val NRMSE(δ)=5.93%
Epoch 35: Val NRMSE(δ)=8.22%
Epoch 36: Val NRMSE(δ)=6.61%
Epoch 37: Val NRMSE(δ)=6.31%
Epoch 38: Val NRMSE(δ)=6.71%
Epoch 39: Val NRMSE(δ)=7.18%
Epoch 40: Val NRMSE(δ)=5.80%
Epoch 41: Val NRMSE(δ)=5.85%
Epoch 42: Val NRMSE(δ)=6.04%
Epoch 43: Val NRMSE(δ)=6.76%
Epoch 44: Val NRMSE(δ)=5.98%
Epoch 45: Val NRMSE(δ)=6.25%
Epoch 46: Val NRMSE(δ)=5.76%
Epoch 47: Val NRMSE(δ)=5.96%
Epoch 48: Val NRMSE(δ)=6.13%
Epoch 49: Val NRMSE(δ)=8.50%
Epoch 50: Val NRMSE(δ)=6.46%
Epoch 51: Val NRMSE(δ)=5.89%
Epoch 52: Val NRMSE(δ)=5.92%
Epoch 53: Val NRMSE(δ)=5.91%
Epoch 54: Val NRMSE(δ)=6.02%
Epoch 55: Val NRMSE(δ)=5.94%
Epoch 56: Val NRMSE(δ)=5.87%
Epoch 57: Val NRMSE(δ)=5.90%
Epoch 58: Val NRMSE(δ)=7.50%
Epoch 59: Val NRMSE(δ)=5.82%
Epoch 60: Val NRMSE(δ)=5.71%
Epoch 61: Val NRMSE(δ)=5.88%
Epoch 62: Val NRMSE(δ)=5.97%
Epoch 63: Val NRMSE(δ)=8.99%
Epoch 64: Val NRMSE(δ)=6.33%
Epoch 65: Val NRMSE(δ)=6.40%
Epoch 66: Val NRMSE(δ)=7.11%
Epoch 67: Val NRMSE(δ)=5.74%
Epoch 68: Val NRMSE(δ)=5.73%
Epoch 69: Val NRMSE(δ)=5.85%
Epoch 70: Val NRMSE(δ)=5.81%
Epoch 71: Val NRMSE(δ)=6.32%
Epoch 72: Val NRMSE(δ)=5.81%
Epoch 73: Val NRMSE(δ)=5.76%
Epoch 74: Val NRMSE(δ)=5.75%
Epoch 75: Val NRMSE(δ)=5.77%
Epoch 76: Val NRMSE(δ)=5.74%
Epoch 77: Val NRMSE(δ)=5.83%
Epoch 78: Val NRMSE(δ)=5.84%
Epoch 79: Val NRMSE(δ)=6.50%
Epoch 80: Val NRMSE(δ)=5.71%
Epoch 81: Val NRMSE(δ)=5.85%
Epoch 82: Val NRMSE(δ)=6.07%
Epoch 83: Val NRMSE(δ)=5.62%
Epoch 84: Val NRMSE(δ)=6.18%
Epoch 85: Val NRMSE(δ)=5.81%
Epoch 86: Val NRMSE(δ)=6.21%
Epoch 87: Val NRMSE(δ)=6.13%
Epoch 88: Val NRMSE(δ)=5.79%
Epoch 89: Val NRMSE(δ)=7.91%
Epoch 90: Val NRMSE(δ)=9.21%
Epoch 91: Val NRMSE(δ)=5.60%
Epoch 92: Val NRMSE(δ)=5.85%
Epoch 93: Val NRMSE(δ)=5.57%
Epoch 94: Val NRMSE(δ)=6.90%
Epoch 95: Val NRMSE(δ)=6.04%
Epoch 96: Val NRMSE(δ)=5.70%
Epoch 97: Val NRMSE(δ)=5.73%
Epoch 98: Val NRMSE(δ)=6.40%
Epoch 99: Val NRMSE(δ)=5.78%
Epoch 100: Val NRMSE(δ)=5.93%
